2024-07-29 16:02:32.705 [info] Log level: Info
2024-07-29 16:02:32.705 [info] Validating found git in: "git"
2024-07-29 16:02:32.705 [info] Using git "2.45.2" from "git"
2024-07-29 16:02:32.705 [info] > git rev-parse --show-toplevel [5ms]
2024-07-29 16:02:33.046 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:02:33.999 [info] > git rev-parse --show-toplevel [6ms]
2024-07-29 16:02:45.014 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:02:49.133 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:02:51.802 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:03:17.813 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:04:03.366 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:04:45.240 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:05:33.971 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:05:54.623 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:10:25.895 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:10:27.456 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:10:52.654 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:11:12.017 [info] > git rev-parse --show-toplevel [3ms]
2024-07-29 16:11:37.540 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:14:16.620 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:22:45.232 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:32:21.878 [info] > git rev-parse --show-toplevel [3ms]
2024-07-29 16:34:10.889 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:35:12.616 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:38:14.816 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:39:02.490 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:39:45.876 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:40:14.717 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:40:21.064 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:40:29.798 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:40:35.682 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:41:03.934 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:42:14.392 [info] > git rev-parse --show-toplevel [3ms]
2024-07-29 16:42:40.415 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:42:48.287 [info] > git rev-parse --show-toplevel [2ms]
2024-07-29 16:43:52.567 [info] > git rev-parse --show-toplevel [1ms]
2024-07-29 16:46:50.295 [info] > git rev-parse --show-toplevel [4ms]
